formatted_date,temperature,apparent_temperature,humidity,wind_speed,wind_bearing,visibility,pressure
2006-03-31 22:00:00+00:00,9.47,7.39,0.89,14.12,251.0,15.83,1015.13
2006-03-31 23:00:00+00:00,9.36,7.23,0.86,14.26,259.0,15.83,1015.63
2006-04-01 00:00:00+00:00,9.38,9.38,0.89,3.93,204.0,14.96,1015.94
2006-04-01 01:00:00+00:00,8.29,5.94,0.83,14.1,269.0,15.83,1016.41
2006-04-01 02:00:00+00:00,8.76,6.98,0.83,11.04,259.0,15.83,1016.51
2006-04-01 03:00:00+00:00,9.22,7.11,0.85,13.96,258.0,14.96,1016.66
2006-04-01 04:00:00+00:00,7.73,5.52,0.95,12.36,259.0,9.98,1016.72
2006-04-01 05:00:00+00:00,8.77,6.53,0.89,14.15,260.0,9.98,1016.84
2006-04-01 06:00:00+00:00,10.82,10.82,0.82,11.32,259.0,9.98,1017.37
2006-04-01 07:00:00+00:00,13.77,13.77,0.72,12.53,279.0,9.98,1017.22
2006-04-01 08:00:00+00:00,16.02,16.02,0.67,17.57,290.0,11.21,1017.42
2006-04-01 09:00:00+00:00,17.14,17.14,0.54,19.79,316.0,11.45,1017.74
2006-04-01 10:00:00+00:00,17.8,17.8,0.55,21.94,281.0,11.27,1017.59
2006-04-01 11:00:00+00:00,17.33,17.33,0.51,20.69,289.0,11.27,1017.48
2006-04-01 12:00:00+00:00,18.88,18.88,0.47,15.38,262.0,11.45,1017.17
2006-04-01 13:00:00+00:00,18.91,18.91,0.46,10.4,288.0,11.27,1016.47
2006-04-01 14:00:00+00:00,15.39,15.39,0.6,14.41,251.0,11.27,1016.15
2006-04-01 15:00:00+00:00,15.55,15.55,0.63,11.16,230.0,11.45,1016.17
2006-04-01 16:00:00+00:00,14.26,14.26,0.69,8.52,163.0,11.21,1015.82
2006-04-01 17:00:00+00:00,13.14,13.14,0.7,7.63,139.0,11.21,1015.83
2006-04-01 18:00:00+00:00,11.55,11.55,0.77,7.39,147.0,11.03,1015.85
2006-04-01 19:00:00+00:00,11.18,11.18,0.76,4.93,160.0,9.98,1015.77
2006-04-01 20:00:00+00:00,10.12,10.12,0.79,6.65,163.0,15.83,1015.4
2006-04-01 21:00:00+00:00,10.2,10.2,0.77,3.93,152.0,14.96,1015.51
2006-04-09 22:00:00+00:00,10.42,10.42,0.62,16.99,150.0,15.83,1014.4
2006-04-09 23:00:00+00:00,9.91,7.57,0.66,17.21,149.0,15.83,1014.2
2006-04-10 00:00:00+00:00,11.18,11.18,0.8,10.82,163.0,14.96,1008.71
2006-04-10 01:00:00+00:00,7.16,5.04,0.79,11.08,180.0,15.83,1014.47
2006-04-10 02:00:00+00:00,6.11,4.82,0.82,6.65,161.0,15.83,1014.45
2006-04-10 03:00:00+00:00,6.79,4.27,0.83,13.01,135.0,14.96,1014.49
2006-04-10 04:00:00+00:00,7.26,5.16,0.85,11.17,141.0,6.2,1014.52
2006-04-10 05:00:00+00:00,7.8,5.53,0.83,12.82,150.0,8.05,1014.16
